Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
2022-12-27,PP,AAPL,037833100,APPLE INC,10420.0,131.86,1373981.2,13.53%,10154960.0,575000,23,
2022-12-27,PP,ADSK,052769106,AUTODESK INC,1120.0,188.16,210739.2,2.08%,10154960.0,575000,23,
2022-12-27,PP,AMD,007903107,ADVANCED MICRO DEVICES INC,6407.0,64.52,413379.64,4.07%,10154960.0,575000,23,
2022-12-27,PP,ENPH,29355A107,ENPHASE ENERGY INC,1044.0,293.95,306883.8,3.02%,10154960.0,575000,23,
2022-12-27,PP,ERJ,29082A107,EMBRAER S.A.,49002.0,11.0,539022.0,5.31%,10154960.0,575000,23,
2022-12-27,PP,ETSY,29786A106,ETSY INC,1661.0,126.94,210847.34,2.08%,10154960.0,575000,23,
2022-12-27,PP,GNRC,368736104,GENERAC HLDGS INC,3443.0,92.19,317410.17,3.13%,10154960.0,575000,23,
2022-12-27,PP,LULU,550021109,LULULEMON ATHLETICA INC,1364.0,311.54,424940.56,4.18%,10154960.0,575000,23,
2022-12-27,PP,NVDA,67066G104,NVIDIA CORPORATION,2609.0,152.06,396724.54,3.91%,10154960.0,575000,23,
2022-12-27,PP,OXY,674599105,OCCIDENTAL PETE CORP,1657.0,63.95,105965.15,1.04%,10154960.0,575000,23,
2022-12-27,PP,SEDG,83417M104,SOLAREDGE TECHNOLOGIES INC,999.0,310.15,309839.85,3.05%,10154960.0,575000,23,
2022-12-27,PP,TSLA,88160R101,TESLA INC,18316.0,123.15,2255615.4,22.21%,10154960.0,575000,23,
2022-12-27,PP,TSM,874039100,TAIWAN SEMICONDUCTOR MFG LTD SPONSORED ADS,8314.0,74.89,622635.46,6.13%,10154960.0,575000,23,
2022-12-27,PP,TTD,88339J105,THE TRADE DESK INC,19260.0,44.88,864388.8,8.51%,10154960.0,575000,23,
2022-12-27,PP,UDN,46141D104,INVESCO DB US DLR INDEX TR BEARISH FD,5638.0,18.36,103513.68,1.02%,10154960.0,575000,23,
2022-12-27,PP,UTWO,74933W486,RBB FD INC US TREASY 2 YR,34277.0,49.105,1683172.09,16.57%,10154960.0,575000,23,
2022-12-27,PP,Cash&Other,Cash&Other,Cash & Other,15711.96,1.0,15711.96,0.15%,10154960.0,575000,23,Y
